name;country;city;airport;desc;cena
Riad Villa Blanche;Maroko;Agadir;AGA;Elegancki biały riad z patio i basenem blisko plaży i promenady.;750
Atlantic Palm Beach;Maroko;Agadir;AGA;Nowoczesne apartamenty z balkonami blisko oceanu i kawiarni.;750
Room Mate Valeria;Hiszpania;Málaga;AGP;Designerski hotel z tarasem na dachu przy porcie i starym mieście.;380
Apartamentos Nono Charming Stay;Hiszpania;Málaga;AGP;Stylowe apartamenty w odrestaurowanej kamienicy w centrum.;380
Hotel Hospes Amérigo;Hiszpania;Alicante;ALC;Luksusowy hotel w dawnym klasztorze przy katedrze i plaży.;320
MyFlats Luxury Downtown;Hiszpania;Alicante;ALC;Nowoczesne apartamenty w centrum blisko restauracji i mariny.;320
The House Boutique Suites;Jordania;Amman;AMM;Elegancki apart-hotel z tarasami w nowoczesnej dzielnicy Abdali.;450
Nomads Hotel;Jordania;Amman;AMM;Artystyczny hotel butikowy blisko kawiarni i cytadeli.;450
The Dylan Amsterdam;Holandia;Amsterdam;AMS;Stylowy hotel w XVII-wiecznym budynku nad kanałem blisko Jordaan.;480
Eric Vökel Boutique Apartments Amsterdam;Holandia;Amsterdam;AMS;Nowoczesne apartamenty w klasycznej kamienicy przy kanale.;480
Hotel Rival;Szwecja;Sztokholm;ARN;Elegancki hotel art-deco na Södermalm blisko punktów widokowych.;290
Lydmar Hotel;Szwecja;Sztokholm;ARN;Artystyczny hotel nad wodą blisko Gamla Stan i muzeów.;290
The Marmorosch Bucharest;Rumunia;Bukareszt;BBU;Zabytkowy bank zamieniony w luksusowy hotel przy starym mieście.;250
Central Old Town Apartments;Rumunia;Bukareszt;BBU;Apartamenty w sercu Lipscani blisko barów i zabytków.;250
Hotel Neri Relais & Châteaux;Hiszpania;Barcelona;BCN;Romantyczny hotel w pałacyku w dzielnicy gotyckiej.;390
Eric Vökel Boutique Apartments – Sagrada Família;Hiszpania;Barcelona;BCN;Nowoczesne apartamenty blisko bazyliki Gaudiego.;390
Palazzo Virgilio;Włochy;Brindisi;BDS;Stylowy hotel w historycznym pałacu blisko portu.;280
Dimora Nettare;Włochy;Brindisi;BDS;Kameralny pensjonat w zabytkowej kamienicy na starym mieście.;280
Clarion Collection Hotel Havnekontoret;Norwegia;Bergen;BGO;Hotel w dawnej siedzibie portowej przy Bryggen i fiordach.;310
Bergen Børs Hotel;Norwegia;Bergen;BGO;Hotel w dawnej giełdzie z widokiem na targ rybny.;310
